Field Name,Object,Folder,Unique Key,Created On
Property Address,Property Review,Property Review Info,{{ custom_objects.property_reviews.property_address }},12/1/2025at 1:00 PM
Deal Type,Property Review,Property Review Info,{{ custom_objects.property_reviews.deal_type }},12/1/2025at 4:28 PM
Review Date,Property Review,Property Review Info,{{ custom_objects.property_reviews.review_date }},12/1/2025at 4:30 PM
Unit Number(s),Property Review,Property Review Info,{{ custom_objects.property_reviews.unit__lot }},12/1/2025at 4:48 PM
Street Number,Property Review,Property Review Info,{{ custom_objects.property_reviews.street_number }},12/1/2025at 4:48 PM
Street Name,Property Review,Property Review Info,{{ custom_objects.property_reviews.street_name }},12/1/2025at 4:49 PM
Suburb Name,Property Review,Property Review Info,{{ custom_objects.property_reviews.suburb_name }},12/1/2025at 5:05 PM
State,Property Review,Property Review Info,{{ custom_objects.property_reviews.state }},12/1/2025at 5:13 PM
Why this property?,Property Review,Property Review Info,{{ custom_objects.property_reviews.why_this_property }},12/1/2025at 5:17 PM
Google Map,Property Review,Property Review Info,{{ custom_objects.property_reviews.google_map }},12/1/2025at 5:17 PM
Bed (Primary),Property Review,Property Review Info,{{ custom_objects.property_reviews.beds_primary }},12/1/2025at 5:26 PM
Bed (Secondary),Property Review,Property Review Info,{{ custom_objects.property_reviews.beds_additional__secondary__dual_key }},12/1/2025at 5:29 PM
Bath (Primary),Property Review,Property Review Info,{{ custom_objects.property_reviews.bath_primary }},12/1/2025at 5:42 PM
Bath (Secondary),Property Review,Property Review Info,{{ custom_objects.property_reviews.baths_additional__secondary__dual_key }},12/1/2025at 5:49 PM
Land Size,Property Review,Property Review Info,{{ custom_objects.property_reviews.land_size }},12/1/2025at 5:52 PM
Title,Property Review,Property Review Info,{{ custom_objects.property_reviews.title }},12/1/2025at 5:59 PM
Body corp $ (per quarter),Property Review,Property Review Info,{{ custom_objects.property_reviews.body_corp__per_quarter }},12/1/2025at 6:03 PM
Garage (Primary),Property Review,Property Review Info,{{ custom_objects.property_reviews.garage_primary }},12/1/2025at 6:06 PM
Garage (Secondary),Property Review,Property Review Info,{{ custom_objects.property_reviews.garage_additional__secondary__dual_key }},12/1/2025at 6:08 PM
Car-port (Primary),Property Review,Property Review Info,{{ custom_objects.property_reviews.carport_primary }},12/1/2025at 6:10 PM
Car-port (Secondary),Property Review,Property Review Info,{{ custom_objects.property_reviews.carport_additional__secondary__dual_key }},12/1/2025at 6:12 PM
Car-space (Secondary),Property Review,Property Review Info,{{ custom_objects.property_reviews.carspace_additional__secondary__dual_key }},12/1/2025at 6:14 PM
Car-space (Primary),Property Review,Property Review Info,{{ custom_objects.property_reviews.carspace_primary }},12/1/2025at 6:15 PM
Zoning,Property Review,Property Review Info,{{ custom_objects.property_reviews.zoning }},12/1/2025at 6:16 PM
Flood,Property Review,Property Review Info,{{ custom_objects.property_reviews.flood }},12/1/2025at 6:18 PM
Bushfire,Property Review,Property Review Info,{{ custom_objects.property_reviews.bushfire }},12/1/2025at 6:19 PM
Mining,Property Review,Property Review Info,{{ custom_objects.property_reviews.mining }},12/1/2025at 6:20 PM
