Type,Packager,Sourcer,Status,Review Date,Last Update,QA status,Property Address,Asking,Price Group,BA Message,Accept Acq’ / Total $,CONFIG,Current Rent $ pw,Appraied Rent $ pw,Land Size,Title Type,Year Built or Registration,Selling Agent,Cashback or Rebate,Cashback or Rebate $,Closing BA,Closing Price,Client_Closed,Closing_Date,Record ID,Sort_Key__Dont_edit
,,,,,,,,,,,,,,,,,,,,,,,,,,- -
,,,,,,,,,,,,,,,,,,,,,,,,,,- -
,,,,,,,,,,,,,,,,,,,,,,,,,,- -
,,,,,,,,,,,,,,,,,,,,,,,,,,- -
,,,,,,,,,,,,,,,,,,,,,,,,,,- -
,,,,,,,,,,,,,,,,,,,,,,,,,,- -
,,,,,,,,,,,,,,,,,,,,,,,,,,- -
,,,,,,,,,,,,,,,,,,,,,,,,,,- -
01 Hl Comms,aaditya.m,will.e,01 Available,17/04/2026,17/04/2026,Approved,"Lot 3124, Smiths Lane Clyde North VIC 3978",N/A,$500-700k,,"L = $317,440
B = $344,500
T = $661,940","3
2
1",N/A,$550 - $580,256,Individual,TBC,"TBC
TBC
TBC",cashback,"$20,000",,,,,69e1a9caddf3d816b6154056,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,aaditya.m,will.e,01 Available,13/05/2026,13/05/2026,Approved,"Lot 120, CANDIDE RD Armstrong Creek VIC 3217",N/A,$500-700k,,"L = $299,950
B = $344,740
T = $644,690","3
2
2",N/A,$520 - $550,221,Individual,January 2027 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,69e869dbf0966d1615a1338a,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,james.m,james.m,01 Available,13/05/2026,13/05/2026,Approved,"Lot 120, CANDIDE Gr, Armstrong Creek Armstrong Creek VIC 3217",N/A,$500-700k,,"L = $305,000
B = $364,740
T = $669,740","3
2
2",N/A,$500 - $550,221,Individual,September 2026 approx.,"Scott Soho
TBC
TBC",cashback,"$20,000",,,,,6a02a79edb555763bd119069,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,aaditya.m,ali.h,01 Available,19/05/2026,19/05/2026,Approved,"Lot 1425, Harlowe Estate Huntly VIC 3551",N/A,$500-700k,,"L = $182,000
B = $389,350
T = $571,350","4
2
1",N/A,$530 - $570,238,Individual,September 2027 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a0bb43fa1f2c868499dc497,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,aaditya.m,ali.h,01 Available,19/05/2026,19/05/2026,Approved,"Lot 1420, Harlowe Estate Huntly VIC 3551",N/A,$500-700k,,"L = $197,000
B = $395,350
T = $592,350","4
2
2",N/A,$550 - $580,263,Individual,September approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a0bbaa6257959f88928ffd6,01 Hl Comms - 01 Available - $500-700k
