Record ID,Property Address,Deal Type,Review Date ( AEST ),Unit Number(s),Street Number,Street Name,Suburb Name,State,Why this property?,Google Map,Bed (Primary),Bed (Secondary),Bath (Primary),Bath (Secondary),Land Size,Title,Body corp $ (per quarter),Garage (Primary),Garage (Secondary),Car-port (Primary),Car-port (Secondary),Car-space (Secondary),Car-space (Primary),Zoning,Flood,Bushfire,Mining,Other (Overlay),Special Infrastructure,Due Diligence Acceptance,Asking,Created At ( AEST ),Updated At ( AEST ),folder_link
"6a3de0d7cd475d0c2cef64c4","2B Ida St, Murray Bridge Murray Bridge SA 5253","05 Established","","","2B","Ida St, Murray Bridge","Murray Bridge","SA","Strong Capital Growth - Murray Bridge has shown robust capital growth driven by its strategic location and increasing demand for regional properties.  \nInfrastructure Development - Significant infrastructure projects are underway, including road upgrades and community facilities, enhancing the suburb's appeal.  \nAffordability - Murray Bridge offers more affordable property prices compared to metropolitan areas, providing opportunities for greater capital appreciation.  \nTransport Accessibility - Convenient access to major highways and public transport improves connectivity to Adelaide and surrounding regions, boosting tenant interest.  \nPopulation Increase - The region is experiencing steady population growth, driven by lifestyle appeal and employment opportunities, increasing demand for housing.","https://www.google.com/maps/search/?api=1&query=2B%20Ida%20Street%2C%20Murray%20Bridge%2C%20SA%205253","3","","1","","232","Strata","200","1","","","","","","SN (Suburban Neighbourhood)","No","No","No","No","No","Yes","On-market","Jun 26 2026 12:15 PM","Jun 26 2026 02:34 PM","https://drive.google.com/drive/folders/1GXac-pFTWDne3acJ_MSPT5dlA1LnGuis"
"6a3cf233da2dd7d81e6d4df0","Units A,B, 8 Dora St Morayfield QLD 4506","05 Established","","A,B","8","Dora St","Morayfield","QLD","Strategic Location - Morayfield is strategically positioned in Moreton Bay City, benefiting from its proximity to Brisbane and the Sunshine Coast, enhancing its appeal to investors.  \nSignificant Infrastructure Development - Ongoing infrastructure projects, such as road upgrades and the new university precinct, are set to boost property values in Morayfield.  \nHigh Rental Demand - With a low rental vacancy rate, Morayfield presents a strong opportunity for consistent rental income and tenant retention.  \nAffordable Entry Point - Morayfield offers more affordable property prices compared to nearby urban centers, providing investors with a cost-effective entry into the market.  \nStrong Capital Appreciation - Historical data shows solid capital growth in Morayfield, driven by population increases and urban development.  \nTransport Links - Excellent transport connectivity, including access to major highways and public transport, enhances Morayfield's attractiveness to commuters and tenants.  \nGrowing Population - The area is experiencing significant population growth, which is expected to drive further demand for housing and rental properties.","https://www.google.com/maps/search/?api=1&query=8%20Dora%20Street%2C%20Morayfield%2C%20Qld%204506","3","1","2","1","278","Torrens","","1","0","","","","","Emerging community (EC)","No","Yes","No","No","No","Yes","On-market","Jun 25 2026 07:17 PM","Jun 26 2026 02:52 PM","https://drive.google.com/drive/folders/1e_AfCZ1KMy8tjEXho6_8WTqKGqkFjdC3"
"6a3cf22a09c666043904f972","139 Petra Av South Tamworth NSW 2340","05 Established","","","139","Petra Av","South Tamworth","NSW","Strong Capital Growth - South Tamworth has shown robust capital growth due to ongoing urban development and its strategic location within the Tamworth Regional Council.  \nTight Rental Market - The current rental market in South Tamworth is highly competitive with vacancy rates hovering below 1%, indicating strong tenant demand.  \nInfrastructure Investment - Significant local infrastructure projects, including road upgrades and community facilities, are set to enhance the suburb's long-term value.  \nAffordability Advantage - South Tamworth offers more affordable property prices compared to nearby suburbs, presenting attractive entry points for investors.  \nStrong Rental Yield - Properties in South Tamworth benefit from high rental yields, supported by consistent demand and low vacancy rates.  \nTransport Connectivity - The suburb boasts excellent transport links, including proximity to major highways and public transport, increasing its appeal to tenants.  \nPopulation Growth - Ongoing population growth in the Tamworth region is driving increased demand for housing, boosting rental prospects in South Tamworth.","https://www.google.com/maps/search/?api=1&query=139%20Petra%20Avenue%2C%20Tamworth%2C%20NSW%202340","3","","1","","639","Torrens","","1","","","","","","R1 (General Residential)","No","No","No","No","No","Yes","Off-market","Jun 25 2026 07:17 PM","Jun 25 2026 07:25 PM","https://drive.google.com/drive/folders/1eas78o7OnYYU6U5mGZMHFAxgiBvVzNQR"
"6a3ccd474f367f3b1eaebfc8","34 Hampton St Northam wa 6401","05 Established","","4","34","Hampton St","Northam","WA","Emerging Market Potential - Northam is positioned as an emerging market with growing investor interest and untapped capital growth opportunities.  \nStrategic Infrastructure Developments - Recent and planned infrastructure projects in Northam are set to enhance connectivity and boost property values.  \nAffordable Entry Point - Northam offers competitive property prices, providing investors with an affordable entry point compared to metropolitan areas.  \nGrowing Population - A rising population in Northam is driving increased demand for housing, positively impacting rental yields and property values.  \nProximity to Perth - Northam's location near Perth provides accessibility to urban amenities while maintaining a more relaxed, regional lifestyle.  \nDiverse Economic Drivers - A mix of agriculture, industry, and tourism sectors in Northam supports economic stability and diversified investment opportunities.","https://www.google.com/maps/search/?api=1&query=34%20Hampton%20Street%2C%20Northam","3","","1","","243","Survey Strata","597","0","","1","","","","R30 (R30 Residential)","No","No","No","No","No","Yes","Off-market","Jun 25 2026 04:40 PM","Jun 26 2026 12:33 PM","https://drive.google.com/drive/folders/16KMLpdDsB8hsIiC3KG_f6-snx-_b0TL8"
"6a3cb7ca2ce2c50d0f5bfffb","32 Lake St Lake Albert NSW 2650","05 Established","","","32","Lake St","Lake Albert","NSW","Strong Capital Growth - Lake Albert has experienced consistent capital appreciation due to its desirable lakeside location and proximity to Wagga Wagga's amenities.  \nInfrastructure Enhancements - Ongoing and planned infrastructure projects in the Wagga Wagga region are set to boost accessibility and livability, enhancing property values.  \nAffordable Entry Point - Lake Albert provides a more affordable entry into the property market compared to other regional suburbs, offering significant upside potential.  \n Excellent Transport Links - Proximity to major arterial roads and public transport options increases Lake Albert's appeal for both tenants and investors.  \nGrowing Population - Wagga Wagga's population growth is above the national average, driving increased demand for housing in Lake Albert.","https://www.google.com/maps/search/?api=1&query=32%20Lake%20Street%2C%20Lake%20Albert%2C%20NSW%202650","4","","2","","593","Torrens","","2","","","","","","R1 (General Residential)","No","No","No","No","No","Yes","Off-market","Jun 25 2026 03:08 PM","Jun 26 2026 12:38 PM","https://drive.google.com/drive/folders/1OzhbMLFpbsieC3Wn0hxiDbZzB79DUAzK"
"6a3cacbe789a662f79336fe7","Lot 1335, MIDDLEHAM St,  Lara VIC 3212","01 H&L Comms","","","","MIDDLEHAM St,","Lara","VIC","Strong Capital Growth - Lara has demonstrated robust capital growth due to its strategic location within Greater Geelong City and ongoing urban development.  \nInfrastructure Development - Significant infrastructure projects in Greater Geelong are enhancing connectivity and boosting Lara's investment appeal.  \nAffordability Edge - Lara provides more affordable investment opportunities compared to nearby urban centers, with promising capital growth potential.  \nProximity to Transport - Lara's excellent access to major highways and rail connections enhances its attractiveness to both tenants and investors.  \nDemographic Expansion - The area is experiencing steady population growth, further driving the demand for rental properties and supporting long-term investment returns.","https://maps.app.goo.gl/QFfoN3wjiLddYH948","4","","2","","448","Individual","","2","","","","","","UGZ6 (URBAN GROWTH ZONE - SCHEDULE 6)","No","No","No","No","No","Yes","","Jun 25 2026 02:21 PM","Jun 25 2026 02:23 PM","https://drive.google.com/drive/folders/10jwg61Xp6MfiAeTggL_arSQ_QAI9WnSs"
"6a3c9d95789a666fbc331332","1 Hardman Rd Rangeway wa 6530","05 Established","","3","1","Hardman Rd","Rangeway","WA","Strong Capital Growth - Rangeway is positioned for substantial capital growth due to ongoing urban renewal projects and its proximity to Geraldton's coastal attractions.  \nTight Rental Market - The Greater Geraldton area, including Rangeway, experiences low rental vacancy rates, indicating robust demand from renters.  \nInfrastructure Investment - Significant developments in transport and community facilities are underway, enhancing Rangeway's investment potential.  \nAffordability Advantage - Rangeway presents more affordable entry points compared to other suburbs in the Greater Geraldton area, promising strong future growth.  \nStrong Rental Yield - Investors can achieve attractive rental yields in Rangeway, supported by high demand and competitive pricing.  \nTransport Connectivity - Proximity to major roads and public transport options enhances Rangeway's accessibility and appeal to tenants.  \nPopulation Growth - Rangeway benefits from a growing population in Greater Geraldton, driving increased demand for housing and rental properties.","https://www.google.com/maps/search/?api=1&query=3%2F1%20Hardman%20Road%2C%20Rangeway%2C%20WA%206530","3","","1","","391","Strata","201","0","","1","","","","R30 (R30 Residential)","No","No","No","No","No","Yes","On-market","Jun 25 2026 01:16 PM","Jun 26 2026 11:17 AM","https://drive.google.com/drive/folders/1HO_oPX1dKpVWOJazd-lz2AQi4hjH45GA"
"6a3c96e1160564e8b946242c","40B Pix Rd Davoren Park SA 5113","03 Internal with Comms","","","40B","Pix Rd","Davoren Park","SA","Strong Capital Growth - Davoren Park has benefited from ongoing urban development and increasing property values, promising robust capital appreciation.  \nAffordable Entry Point - The suburb offers some of the most competitively priced properties in the City of Playford, attracting cost-conscious investors.  \nHigh Rental Demand - With rental vacancy rates persistently low, the area continues to attract tenants, ensuring stable rental income.  \nInfrastructure Development - Significant investments in local amenities and transport infrastructure are set to enhance the suburb's connectivity and appeal.  \nAttractive Rental Yields - Current rental returns in Davoren Park are above the metropolitan average, offering attractive cash flow opportunities.  \nGrowing Population - The suburb is experiencing a population increase, fueling demand for housing and rental properties.  \nProximity to Employment Hubs - Easy access to nearby industrial and commercial centers makes Davoren Park an attractive location for working tenants.","https://www.google.com/maps/search/?api=1&query=40b%20Pix%20Road%2C%20Davoren%20Park%2C%20SA%205113","4","","2","","300","Torrens","","1","","","","","","MPN (Master Planned Neighbourhood)","No","No","No","No","No","Yes","Off-market","Jun 25 2026 12:48 PM","Jun 25 2026 12:52 PM","https://drive.google.com/drive/folders/1ysio2UJwVRDg-heweK22WQD4YAKKcJno"
"6a3c848a30fa5b11088a62a6","Lot 2, 4 Hurst Rd Gawler East SA 5118","02 Single Comms","","","4","Hurst Rd","Gawler East","SA","Proximity to Adelaide - Gawler East's close proximity to Adelaide offers excellent capital growth potential as the city expands.  \nLow Vacancy Rates - The area maintains low rental vacancy rates, indicating strong demand for rental properties.  \nInfrastructure Development - Ongoing infrastructure projects in Gawler East are set to enhance property values and investor returns.  \nAffordable Entry Point - The suburb provides a more affordable entry point compared to other Adelaide suburbs, appealing to budget-conscious investors.  \nRising Rental Yields - Competitive rental yields in Gawler East attract investors seeking steady income streams.  \nPopulation Increase - The region is experiencing a population increase, which is likely to sustain housing demand.  \nTransport Access - Convenient access to major highways and public transport enhances tenant appeal and connectivity.","https://www.google.com/maps/search/?api=1&query=4%20Hurst%20Rd%2C%20Gawler%20East%20SA%205118","3","","2","","137","Torrens","","1","","","","","","GN (General Neighbourhood)","No","No","No","No","No","Yes","","Jun 25 2026 11:29 AM","Jun 25 2026 11:42 AM","https://drive.google.com/drive/folders/1pd0TDz5i5XpLsGE_4nZ4KE2Iz0AVOvC3"
"6a3c8486ceb1f2f631c5e3b3","Lot 1, 4 Hurst Rd Gawler East SA 5118","02 Single Comms","","","4","Hurst Rd","Gawler East","SA","Proximity to Adelaide - Gawler East's close proximity to Adelaide offers excellent capital growth potential as the city expands.  \nLow Vacancy Rates - The area maintains low rental vacancy rates, indicating strong demand for rental properties.  \nInfrastructure Development - Ongoing infrastructure projects in Gawler East are set to enhance property values and investor returns.  \nAffordable Entry Point - The suburb provides a more affordable entry point compared to other Adelaide suburbs, appealing to budget-conscious investors.  \nRising Rental Yields - Competitive rental yields in Gawler East attract investors seeking steady income streams.  \nPopulation Increase - The region is experiencing a population increase, which is likely to sustain housing demand.  \nTransport Access - Convenient access to major highways and public transport enhances tenant appeal and connectivity.","https://www.google.com/maps/search/?api=1&query=4%20Hurst%20Rd%2C%20Gawler%20East%20SA%205118","3","","2","","131","Torrens","","1","","","","","","GN (General Neighbourhood)","No","No","No","No","No","Yes","","Jun 25 2026 11:29 AM","Jun 25 2026 11:44 AM","https://drive.google.com/drive/folders/1pd0TDz5i5XpLsGE_4nZ4KE2Iz0AVOvC3"
