Type,Packager,Sourcer,Status,Review Date,Last Update,QA status,Property Address,Asking,Price Group,BA Message,Accept Acq’ / Total $,CONFIG,Current Rent $ pw,Appraied Rent $ pw,Land Size,Title Type,Year Built or Registration,Selling Agent,Cashback or Rebate,Cashback or Rebate $,Closing BA,Closing Price,Client_Closed,Closing_Date,Record ID,Sort_Key__Dont_edit
01 Hl Comms,aaditya.m,ali.h,01 Available,19/05/2026,19/05/2026,Approved,"Lot 1425, Harlowe Estate Huntly VIC 3551",N/A,$500-700k,,"L = $182,000
B = $389,350
T = $571,350","4
2
1",N/A,$530 - $570,238,Individual,September 2027 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a0bb43fa1f2c868499dc497,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,aaditya.m,ali.h,01 Available,19/05/2026,19/05/2026,Approved,"Lot 1420, Harlowe Estate Huntly VIC 3551",N/A,$500-700k,,"L = $197,000
B = $395,350
T = $592,350","4
2
2",N/A,$550 - $580,263,Individual,September approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a0bbaa6257959f88928ffd6,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,aaditya.m,ali.h,01 Available,19/05/2026,19/05/2026,Approved,"Lot 1426, Harlowe Estate Huntly VIC 3551",N/A,$500-700k,,"L = $209,000
B = $406,650
T = $615,650","4
2
2",N/A,$550 - $580,294,Individual,September approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a0bbaa0f043d060cbe9f078,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,aaditya.m,ali.h,01 Available,17/06/2026,17/06/2026,Approved,"Lot 1440, Harlowe Estate Huntly VIC 3551",N/A,$500-700k,,"L = $217,000
B = $374,100
T = $591,100","4
2
2",N/A,$550 - $580,313,Individual,September 2027 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a0bc34958a90381dbaed5b8,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,aaditya.m,sachin.p,01 Available,29/05/2026,29/05/2026,Approved,"Lot 1114, Jessup St Huntly VIC 3551",N/A,$500-700k,,"L = $263,800
B = $370,250
T = $634,050","4
2
1",N/A,$550 - $580,330,Torrens,December 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a1682e6aae585417d2a6ebb,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,sachin.p,ali.h,01 Available,27/05/2026,27/05/2026,Approved,"Lot 46, Howards Crossing Howard QLD 4659",N/A,$500-700k,,"L = $192,000
B = $487,000
T = $679,000","3
2
2",N/A,$550 - $600,306,Torrens,July 2026 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a164c8a93ead12c0209d707,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,aaditya.m,aaditya.m,01 Available,17/06/2026,17/06/2026,Approved,"Lot 1423, Harlowe Estate Huntly vic 3551",N/A,$500-700k,,"L = $165,000
B = $367,175
T = $532,175","3
2
1",N/A,$500 - $550,211,Individual,September 2027 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2fb00b31c8a433e7dd4ebd,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,aaditya.m,aaditya.m,01 Available,17/06/2026,17/06/2026,Approved,"Lot 1422, Harlowe Estate Huntly vic 3551",N/A,$500-700k,,"L = $166,000
B = $367,175
T = $533,175","3
2
1",N/A,$500 - $550,213,Individual,September 2027 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a2fb0093ea5b3be1362f749,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,aaditya.m,aaditya.m,01 Available,17/06/2026,17/06/2026,Approved,1442 Harlowe Estate Huntly VIC 3551,N/A,$500-700k,,"L = $217,000
B = $410,000
T = $627,000","4
2
2",N/A,$550 - $580,313,Individual,September 2027 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a322ef197b7be11efcab173,01 Hl Comms - 01 Available - $500-700k
01 Hl Comms,aaditya.m,ali.h,01 Available,18/06/2026,18/06/2026,,"Lot 1430, Harlowe Estate Huntly VIC 3551",N/A,$500-700k,,"L = $207,000
B = $378,625
T = $585,625","4
2
2",N/A,$540 - $570,294,Individual,September 2027 approx.,"TBC
TBC
TBC",cashback,"$20,000",,,,,6a336690d19a3fd37d9832e2,01 Hl Comms - 01 Available - $500-700k
